open,close,side,entry,exit,sl,tp,r,pnl,tags
2025-06-10 19:00:00+00:00,2025-06-11 18:00:00+00:00,LONG,109559.5,108583.56539734402,108583.56539734402,111511.36920531196,-1.0,-975.9346026559797,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-13 16:00:00+00:00,2025-06-16 18:00:00+00:00,LONG,105837.0,108132.06149327173,104689.46925336414,108132.06149327173,2.0,2295.061493271729,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-17 00:00:00+00:00,2025-06-17 09:00:00+00:00,LONG,107304.5,106276.69561952056,106276.69561952056,109360.10876095889,-1.0,-1027.8043804794434,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-18 21:00:00+00:00,2025-06-20 14:00:00+00:00,LONG,105100.0,103936.65405346084,103936.65405346084,107426.69189307833,-1.0,-1163.3459465391643,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-24 09:00:00+00:00,2025-06-25 13:00:00+00:00,LONG,105287.5,107654.36573838984,104104.06713080508,107654.36573838984,2.0,2366.865738389839,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-06-25 15:00:00+00:00,2025-07-01 14:00:00+00:00,LONG,107124.0,106217.47525158245,106217.47525158245,108937.0494968351,-1.0,-906.5247484175488,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-02 22:00:00+00:00,2025-07-09 19:00:00+00:00,LONG,109220.0,110806.98764107184,108426.50617946408,110806.98764107184,2.0,1586.9876410718425,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-09 20:00:00+00:00,2025-07-10 16:00:00+00:00,LONG,110808.5,112726.47670933686,109849.51164533157,112726.47670933686,2.0,1917.9767093368573,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-11 16:00:00+00:00,2025-07-14 02:00:00+00:00,LONG,117499.5,120030.67235811017,116233.91382094492,120030.67235811017,2.0,2531.1723581101687,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-15 22:00:00+00:00,2025-07-17 21:00:00+00:00,LONG,117872.0,120915.06871686381,116350.4656415681,120915.06871686381,2.0,3043.0687168638106,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
2025-07-17 22:00:00+00:00,2025-07-18 08:00:00+00:00,LONG,119888.5,118556.14663808623,118556.14663808623,122553.20672382755,-1.0,-1332.3533619137743,"{'regime': 'bull', 'tf_ok': True, 'rsi_bucket': '50-65', 'poc_dir': 'above'}"
